,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2016-01-01,2.4966,2.4554571372529317,2.452814116989793,2.3148323696165427,2.5953452735237104
2017-01-01,2.593,2.68260744451492,2.682607444514921,2.68260744451492,2.68260744451492
2018-01-01,2.6224,2.8769163374750937,2.8759607644672425,2.7410755588352638,3.004879041229282
2019-01-01,2.6993,2.806226351879582,2.8066177810622603,2.573801889896257,3.0512611365611786
2020-01-01,3.0656,2.9353957555515726,2.9329354745371394,2.745653627871863,3.135197557046093
2021-01-01,3.5704,3.0998267970731646,3.1020176469492147,2.842107395976591,3.3476753430012005
2022-01-01,3.7981,3.732149706871506,3.7334074392004553,3.3024559724657006,4.1941608229419876
2023-01-01,4.0196,4.208114102963185,4.2160048440095785,3.811187187511095,4.632878944365868
2024-01-01,4.0196,4.257384521700123,4.2453594758018784,3.8363610531252257,4.643218221757401
