,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,1.1122,1.1166137234551616,1.1171234573672273,1.0690634204420482,1.1669399515775294
2019-01-01,1.1414,1.1362991785465266,1.1362991785465262,1.1362991785465266,1.1362991785465266
2020-01-01,1.1672,1.1361494592553834,1.1362295075854978,1.1266923473052355,1.1457001595524123
2021-01-01,1.1578,1.2178705749896779,1.2176349920156186,1.1869243118454293,1.246031938387763
2022-01-01,1.1814,1.1916732197243058,1.1936930108720387,1.1254460338540047,1.2594167553700064
2023-01-01,1.2178,1.204654681409054,1.2044493220604744,1.1436426173547365,1.2593477031277327
2024-01-01,1.2178,1.2190098803210252,1.2192548096944693,1.1631378869309001,1.2731505716348657
