,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,4.1608,4.196379786954406,4.206281899956375,3.799965904214715,4.624028881617087
2019-01-01,4.2288,4.2310699147790904,4.231069914779091,4.2310699147790904,4.2310699147790904
2020-01-01,4.0843,4.2653047071496255,4.26422701584205,4.231415401899837,4.29690118961053
2021-01-01,4.0327,4.305074418231044,4.306228403218187,4.1485838529572465,4.465956664196873
2022-01-01,4.3123,4.229476311274698,4.236984027033952,4.012829682344328,4.444420967015519
2023-01-01,4.5348,4.258945772621646,4.2558597042270465,4.015457882203093,4.513358941482676
2024-01-01,4.5348,4.39789036400357,4.400517747276864,4.057897678327208,4.72906469840171
