,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,3.9193,4.214154231428216,4.208396524977179,3.975119436685207,4.438843699072896
2019-01-01,4.1225,4.194775535548654,4.194775535548655,4.194775535548654,4.194775535548654
2020-01-01,4.3422,4.225276816946768,4.2274582379279835,4.011913057533818,4.458591752100443
2021-01-01,4.8526,4.353953496470048,4.357798293991123,3.990252456821146,4.705756177700977
2022-01-01,4.6736,4.654641852079265,4.641644541518441,4.049622303772543,5.18645124343802
2023-01-01,5.4637,4.69777269785541,4.697570124392125,4.180044169865521,5.212874363334184
2024-01-01,5.4637,4.982328956724588,4.984229763652039,4.26923286973535,5.640286682911685
