,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,0.18889999999999985,0.027238648384809494,0.02890435010288963,-0.0819824183188299,0.14206352040136733
2016-01-01,0.06950000000000012,0.06415300816297531,0.06415300816297531,0.06415300816297531,0.06415300816297531
2017-01-01,-0.1766000000000001,0.04933580383658409,0.04743481766427443,-0.10214248696902783,0.1989337770377797
2018-01-01,0.08729999999999993,0.034022506326436996,0.03934670932066755,-0.29573425836344386,0.35631284221973836
2019-01-01,-0.02450000000000019,0.04889271408319473,0.051123731845777794,-0.21512282184235454,0.3232843120686994
2020-01-01,0.05080000000000018,0.05513755604624748,0.053763701107931536,-0.2206112303757837,0.3046149475068069
2021-01-01,-0.08930000000000016,0.017214855179190636,0.018622838325038197,-0.2068528653360143,0.2414156426657091
2022-01-01,3.1389,2.7480833530426025,2.7503279760768016,2.5339985056919603,2.95586885137034
2023-01-01,3.1634,2.5826287269592285,2.5807402934857264,2.2320073140648113,2.924586265893149
2024-01-01,0.0,0.06451290100812912,0.0644694267440155,-0.4117013456051867,0.5205018610294301
