,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,1.1556,1.0306383389103035,1.031270407572591,0.899736569143645,1.1637101829496426
2019-01-01,1.1741,1.0274215791624266,1.0274215791624268,1.0274215791624266,1.0274215791624266
2020-01-01,1.1984,1.060286700997157,1.0604549588163572,1.0390608541158812,1.0805990833491719
2021-01-01,1.0694,1.0608445494960288,1.0608315613625117,1.044195166306861,1.0777766700474054
2022-01-01,1.2758,1.04829945831387,1.0474848800392351,0.933090374109434,1.1493192851596206
2023-01-01,1.2699,1.1449395759245133,1.1447630815650796,1.0073601813856128,1.2798509834138865
2024-01-01,1.2699,1.1692643583752707,1.172717693868121,1.048646563619804,1.302192654221403
