,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,1.1894,1.080306344084966,1.0781295220562574,0.929586202173898,1.2391569591319345
2019-01-01,1.3387,1.0663165115035416,1.0663165115035418,1.0663165115035416,1.0663165115035416
2020-01-01,1.3377,1.1909771585745954,1.1956780220571401,1.0255987224162084,1.356950865156418
2021-01-01,1.3851,1.0669583985542093,1.0658494000378644,0.9333368800678695,1.1966335119434341
2022-01-01,1.506,1.130371697154347,1.1263906680013538,0.9470452941445844,1.2911270229573304
2023-01-01,1.5287,1.3069957178221783,1.3119990433726985,1.1153079144344646,1.5048054194594662
2024-01-01,1.5287,1.3983859508057923,1.4028843492516894,1.2278253188298653,1.5849455276292133
