,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,2.3611,2.189365097127286,2.19227901203583,2.048583915013255,2.3380508086661784
2019-01-01,2.3546,2.2543057318395925,2.254305731839593,2.2543057318395925,2.2543057318395925
2020-01-01,2.1833,2.1960903770907323,2.1972638547379946,2.12942269074066,2.2712039167210105
2021-01-01,2.1978,2.1856122560679876,2.183722612455078,2.0303265240349027,2.3398957435683623
2022-01-01,2.4653,2.167223400901136,2.16596963671544,2.0213792077290917,2.3085362342735594
2023-01-01,2.5426,2.322727171774551,2.322354861639419,2.1088067923852414,2.545396826865858
2024-01-01,2.5426,2.32998534601518,2.3277208351521192,2.1044995589286453,2.553860996680824
