,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,1.9154,1.9880757552888646,1.9879936044784476,1.8763992604755129,2.0927326893791913
2019-01-01,1.8713,1.988117827819876,1.9881178278198766,1.988117827819876,1.988117827819876
2020-01-01,1.918,1.979519705363271,1.9793677946705739,1.935819956508673,2.0227754508120537
2021-01-01,1.9813,1.9813997270533106,1.9818901781214833,1.9328857504651475,2.028676128203865
2022-01-01,2.0257,1.9799992041438237,1.9807891973968634,1.903749607695343,2.0636587886234787
2023-01-01,2.1862,1.9808899292460587,1.978913161890617,1.870115531009165,2.0941330652114045
2024-01-01,2.1862,2.0823974871550277,2.083198502292119,1.8767891389525775,2.2882362584096687
