,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,2.6258,2.64501118356317,2.641877194654089,2.48947411676213,2.788276139416846
2019-01-01,2.7341,2.559090847901074,2.5590908479010746,2.559090847901074,2.559090847901074
2020-01-01,2.4936,2.276966005848516,2.282114081797772,2.0935388918940614,2.473901389980358
2021-01-01,2.572,2.410428695535839,2.413302679262454,2.2130145196214053,2.615953741501745
2022-01-01,2.8456,2.3450726193807823,2.3395388863843563,2.167861141525921,2.513417441657889
2023-01-01,3.1287,2.6402451278768204,2.635482498774575,2.321981661437469,2.964728979576119
2024-01-01,3.1287,2.9565778057295375,2.965213471502531,2.591666470733995,3.3421801902540538
