,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,1.3595,1.2859759526226309,1.2862269562281772,1.1360356094151864,1.4468739899953205
2019-01-01,1.332,1.2746192685857645,1.274619268585764,1.2746192685857645,1.2746192685857645
2020-01-01,1.3385,1.2923472768835325,1.2924238010803124,1.2770736916946364,1.3078177673281397
2021-01-01,1.3611,1.2091726420442812,1.2088555667153649,1.1865169951418133,1.2307925043751637
2022-01-01,1.4493,1.1724099925159215,1.1722586360144582,1.0973169300238947,1.2548151116174897
2023-01-01,1.3609,1.2916619627718897,1.2870521893548188,1.1140070724813522,1.4436820050479917
2024-01-01,1.3609,1.298525847057173,1.2994216909335286,1.1465859087435992,1.4503658452485824
