,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,0.5549,0.55265,0.5518612390401776,0.48292788424021876,0.6179822794171652
2019-01-01,0.6406,0.55265,0.55265,0.55265,0.55265
2020-01-01,0.664,0.56175,0.5617325536938192,0.47658349355505525,0.6424155591927109
2021-01-01,0.7403,0.57345,0.5738859700910359,0.4912838562663405,0.6601813450348208
2022-01-01,0.6972,0.614478316693276,0.6177899161088233,0.4980969735391767,0.7366014665267152
2023-01-01,0.6372,0.6104240236208259,0.6088497481156887,0.5036835167771611,0.7171458095064865
2024-01-01,0.6372,0.610668340090502,0.6116130420956798,0.5112418009533094,0.7219422705283174
