,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,2.5867,2.3255105703353967,2.3240461239716925,2.2261374643901553,2.4269420874936194
2019-01-01,2.7055,2.4468682136461166,2.4468682136461166,2.4468682136461166,2.4468682136461166
2020-01-01,2.684,2.4197671690143165,2.41979044530213,2.417399060657871,2.422322731473192
2021-01-01,2.6899,2.581950595874476,2.581826909486694,2.577316727606589,2.586364250822563
2022-01-01,2.8645,2.577695922357539,2.577783622437059,2.4501359401603664,2.6993792734237956
2023-01-01,3.0421,2.6645789631284917,2.666919259128211,2.537849621295013,2.7931441015204808
2024-01-01,3.0421,2.7540582964104816,2.7531861132287068,2.592007088542836,2.897083587034484
