,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,2.5867,2.158744444444445,2.151944184453564,1.7708599266207596,2.5201736696736035
2019-01-01,2.7055,2.181268421052632,2.181268421052632,2.181268421052632,2.181268421052632
2020-01-01,2.684,2.2074800000000003,2.204339157900492,2.1146192750189177,2.302801496811285
2021-01-01,2.6899,2.230171428571429,2.2303263349086144,2.156806008228069,2.302620010220075
2022-01-01,2.8645,2.251068181818182,2.2523126224001877,2.1880858977720306,2.3212894556087735
2023-01-01,3.0421,2.277739130434783,2.277556142056462,2.1465279789864438,2.405638979590578
2024-01-01,3.0421,2.3095874999999997,2.311819993898447,2.0740039998304196,2.5326320675834517
