,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,2.6258,1.8097277777777778,1.7792464969500827,0.5343386172411754,2.987222610250317
2019-01-01,2.7341,1.8526789473684209,1.8526789473684206,1.8526789473684209,1.8526789473684209
2020-01-01,2.4936,1.8967499999999997,1.8976909914909477,1.8348176170933235,1.9627342168980657
2021-01-01,2.572,1.9251714285714283,1.9211926458333592,1.6871561856228718,2.1535976261545424
2022-01-01,2.8456,1.9545727272727271,1.9539907413765423,1.7281548674720262,2.1683403709776523
2023-01-01,3.1287,1.9933130434782607,1.9939357124925765,1.7569218914076101,2.244144688037635
2024-01-01,3.1287,2.040620833333333,2.046674718010707,1.7013462810073003,2.3723006953548156
