,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,1.9154,1.956470588235294,1.9559425950491744,1.8386300497081418,2.0873282994971363
2019-01-01,1.8713,1.9541888888888888,1.9541888888888894,1.9541888888888888,1.9541888888888888
2020-01-01,1.918,1.9498263157894733,1.9492458628521667,1.9108704430648802,1.9901130578606385
2021-01-01,1.9813,1.9482349999999997,1.9479642246707711,1.9039209837372253,1.993095953717893
2022-01-01,2.0257,1.9498095238095234,1.9510729323572924,1.8745207095243352,2.0287446734160905
2023-01-01,2.1862,1.9532590909090906,1.9495486178784065,1.8403822291895597,2.0546573624050812
2024-01-01,2.1862,1.9633869565217388,1.9646819129656554,1.7620825510102638,2.156642239925412
