,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,2.0924,1.8898214285714285,1.8900159167139678,1.5402068384831566,2.225355535799816
2016-01-01,2.0947,1.9033266666666668,1.9033266666666673,1.9033266666666668,1.9033266666666668
2017-01-01,2.0831,1.9152875,1.9155426476671382,1.9040232682258356,1.9258025149247813
2018-01-01,2.1136,1.9251588235294117,1.9249220434141152,1.897555703399717,1.9534765412449984
2019-01-01,2.1276,1.9356277777777775,1.9356625018207032,1.912111201842146,1.9609714512078842
2020-01-01,2.1474,1.9457315789473684,1.9454082492450666,1.9246668808805816,1.9671995204383048
2021-01-01,2.2098,1.9558149999999999,1.9557496894813498,1.9334344986659746,1.9791691451785516
2022-01-01,2.1551,1.9679095238095237,1.9675704031530206,1.9220290474303945,2.0155158058935667
2023-01-01,2.3567,1.9764181818181816,1.975644945004875,1.930168113321418,2.0180990076490675
2024-01-01,2.3567,1.9929521739130431,1.99210264745242,1.8803711856836416,2.0994197211391765
