,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,0.5549,0.5599588235294117,0.5606087846514033,0.4943571635810681,0.6265841389857763
2019-01-01,0.6406,0.5596777777777777,0.5596777777777779,0.5596777777777777,0.5596777777777777
2020-01-01,0.664,0.5639368421052631,0.5624684861173267,0.48056855425675404,0.645658724122069
2021-01-01,0.7403,0.5689399999999999,0.5668687751650979,0.4785150087880553,0.6593393142387515
2022-01-01,0.6972,0.5771,0.5740565103608088,0.44272770981737886,0.7047848346452094
2023-01-01,0.6372,0.5825590909090909,0.5847701146644994,0.46755980684156234,0.6999701783168347
2024-01-01,0.6372,0.5849347826086956,0.5861154180995395,0.4789402665461151,0.6915106257105456
