,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2018-01-01,4.1608,3.8839411764705885,3.8674883219350917,3.112252257407466,4.660115340521105
2019-01-01,4.2288,3.899322222222222,3.899322222222223,3.899322222222222,3.899322222222222
2020-01-01,4.0843,3.916663157894736,3.9155187211332776,3.8643907242877997,3.9652332822305163
2021-01-01,4.0327,3.9250449999999995,3.9254995948167974,3.7916599155388493,4.059489238805368
2022-01-01,4.3123,3.930171428571428,3.928547376777877,3.749365252379018,4.092387052335414
2023-01-01,4.5348,3.9475409090909084,3.943499463786491,3.7516075550457075,4.139255953122681
2024-01-01,4.5348,3.973073913043478,3.9785699159884094,3.6595680754726043,4.26722440598671
