,True,Predicted,Mean_Bootstrap,Lower95_CI,Upper95_CI
2015-01-01,-0.04049999999999976,0.0009376666666666208,0.0016427787957825327,-0.1287683447860886,0.15338986944206506
2016-01-01,0.0022999999999999687,0.03433325000000005,0.034333250000000044,0.03433325000000005,0.03433325000000005
2017-01-01,-0.011600000000000055,-0.007455749999999964,-0.007445121439685403,-0.016563585021954163,0.00134161028561977
2018-01-01,0.03049999999999997,-0.015553000000000029,-0.015210587413238419,-0.04963247563491455,0.01590666294920676
2019-01-01,0.014000000000000234,0.006157017316017257,0.008429626494797803,-0.061225540256363016,0.0737029159198775
2020-01-01,0.01980000000000004,0.08505474999999997,0.08649844037138854,0.025602300726268356,0.1451829430315118
2021-01-01,0.06239999999999979,-0.031370499999999954,-0.03165158067576956,-0.10142131877083624,0.04212890096721064
2022-01-01,-0.05469999999999997,-0.023964154761904728,-0.0241607952491808,-0.11538586545340453,0.07650232180063156
2023-01-01,0.2016,-0.011419571428571406,-0.0126025278529508,-0.11184441970794387,0.07777728271070172
2024-01-01,0.0,0.05172160119047618,0.0486691040419295,-0.10889056787317129,0.2027767307484237
